
2024/05/08 (10:22:38) | ===> btop++ v.1.3.2
2024/05/08 (10:22:38) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/08 (10:25:17) | ===> btop++ v.1.3.2
2024/05/08 (10:25:17) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/08 (10:25:24) | ===> btop++ v.1.3.2
2024/05/08 (10:25:24) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/08 (10:26:15) | ===> btop++ v.1.3.2
2024/05/08 (10:26:15) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/08 (16:28:58) | ===> btop++ v.1.3.2
2024/05/08 (16:28:58) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/09 (21:43:29) | ===> btop++ v.1.3.2
2024/05/09 (21:43:29) | WARNING: Failed to set locale UTF-8 continuing anyway.
